,,Q1 ,Q2,,,,,,Q3,,,,Q4,,,,,,,,,,,,,,,,Q5,Q6,Q7,,,,,,,,,,,,,,,,Q8,Q9,Q10,Q11
,,Q1 ,Q2-1,Q2-2,Q2-3,Q2-4,Q2-5,Q2-6,Q3-1tpc,Q3-2sp,Q3-3tab,Q3-4ord,Q4-1,Q4-2,Q4-3,Q4-4,Q4-5,Q4-6,Q4-7,Q4-8,Q4-9,Q4-10,Q4-11,Q4-12,Q4-13,Q4-14,Q4-15,Q4-16,Q5,Q6,Q7-1,Q7-2,Q7-3,Q7-4,Q7-5,Q7-6,Q7-7,Q7-8,Q7-9,Q7-10,Q7-11,Q7-12,Q7-13,Q7-14,Q7-15,Q7-16,Q8,Q9,Q10,Q11
SV1,ESI45,papier,1,,,,1,,non,ot,non,non,,,,1,1,,,,,,,,,,,,qqf,qqf,,,,,,,,,,,,,,,1,,NA,NA,H,28
SV1,ESI46,papier,,,,,,1,NR,ot,NR,NR,,,,1,,,,,,1,,1,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,F,21
SV1,ESI47,papier,1,,,1,,,osp,non,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,28
SV1,ESI48,papier,1,1,,,,,osp,NR,NR,NR,1,,,,,,,,,,,,,,,,1X,js,,,,,,,,,,,,,,,1,,NA,NA,F,38
SV1,ESI49,papier,1,,,,,,NR,NR,NR,NR,,,,,,,,,,,,,,1,,,NR,js,,,,,,,,,,,,,,,1,,NA,NA,F,40
SV1,ESI50,papier,1,,,,,,non,NR,ot,non,,,,,,,,,,,,,,1,,,js,js,,,,1,,,,,,,,,,,,,qqf,qqf,H,31
SV1,ESI51,papier,1,,,,,,non,non,non,non,,,,,,,,,,,,,,1,1,,NA,NA,,,,,,,,,,,,,,,1,,NA,NA,F,47
SV1,ESI52,papier,,,,,,1,non,ot,non,non,,1,,1,,,,,,,,,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,F,20
SV1,ESI53,papier,,,,,,1,NR,ot,NR,NR,1,1,,1,,,,,,,,,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,H,21
SV1,ESI54,papier,1,,,,,,NR,osp,NR,NR,,,,,,,,,,,,,consSMS,,,,js,1X,,,,,,,,,,,,,,,1,,NA,NA,H,23
SV1,ESI55,papier,,,,,1,,non,osp,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,H,44
SV1,ESI56,papier,1,,,,,,non,ot,non,non,,,,1,,,,1,,1,,,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,F,19
SV1,ESI57,papier,1,,,,,,non,ot,non,non,,,,1,1,,,1,,1,,1,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,F,20
SV1,ESI58,papier,1,,,,,,NR,ot,NR,NR,,,,1,1,,,,,,,,,,,,qqf,qqf,,,,,,,,,,,,,,,,1,NR,NR,F,26
